"Item SKU","Item Name","Item Description (short)","Item UOM","Physical Quantity (Good)","Physical Quantity (Damaged)","Quantity on-hold"
JF-278317x2,"John Frieda Frizz Ease Original 6 Effects Serum 50ml x 2","Frizz eliminator repels humidity and",PIECES,688,0,0
JF-297631,"John Frieda Frizz Ease Miraculous Recovery Crème Serum 50ml","Intense repair formula visibly transforms",PIECES,2488,0,0
JF-278319,"John Frieda Frizz Ease Miraculous Recovery Deep Conditioner 150ml","Saturates, quenches and replenishes to",PIECES,791,0,0
JF-286175,"John Frieda Frizz Ease 10 Day Tamer (Pre-wash Treatment) 150ml","Fight frizzy hair with this",PIECES,1744,0,0
JF-278315+278316+278318,"John Frieda Frizz Ease Flawless Straight Shampoo & Conditioner + Oil Elixir","Flawless Straight Shampoo & Conditioner",PIECES,1193,0,0
JF-278315+278316+278317,"John Frieda Frizz Ease Flawless Straight Shampoo & Conditioner + Original Serum","Flawless Straight Shampoo & Conditioner",PIECES,1193,0,0
JF-278178+278179+278318,"John Frieda Frizz Ease Forever Smooth Shampoo & Conditioner + Oil Elixir","Experience a new generation of",PIECES,1513,0,0
JF-278178+278179+278317,"John Frieda Frizz Ease Forever Smooth Shampoo & Conditioner + Original Serum","Experience a new generation of",PIECES,1377,0,0
JF-278181+278183+278317,"John Frieda Frizz Ease Miraculous Recovery Shampoo & Conditioner Set + Original Serum","Repair the look and feel",PIECES,1252,0,0
JF-278181+278183+297631,"John Frieda Frizz Ease Miraculous Recovery Complete Set 1 (+ Crème Serum)","Repair the look and feel",PIECES,1252,0,0
JF-278181+278183+278319,"John Frieda Frizz Ease Miraculous Recovery Complete Set 2 (+ Deep Conditioner)","Repair the look and feel",PIECES,791,0,0
JF-278178+278179+286175,"John Frieda Frizz Ease Forever Smooth Anti Frizz Set (+ 10 Day Tamer)","Experience a new generation of",PIECES,1513,0,0
JF-297628,"John Frieda Luxurious Volume Core Restore Protein-Infused Shampoo 250ml","Fine hair lacks the protein",PIECES,384,0,0
JF-297629,"John Frieda Luxurious Volume Core Restore Protein-Infused Clear Conditioner 250ml","Fine hair lacks the protein",PIECES,652,0,0
JF-297628x2,"John Frieda Luxurious Volume Core Restore Shampoo x2","Fine hair lacks the protein",PIECES,192,0,0
